Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",20,6.87,0.11,0.03,0.00,"MSVCP120D.dll",
"Caller","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","main",20,6.87,0.11,0.03,0.00,"ConsoleApplication2.exe",
"Callee","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","std::endl<char,std::char_traits<char> >",20,6.77,0.04,0.03,0.00,"ConsoleApplication2.exe",
"Root","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",54,0.12,0.12,0.00,0.00,"MSVCP120D.dll",
"Caller","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",54,0.12,0.12,0.00,0.00,"ConsoleApplication2.exe",
"Root","?flags@ios_base@std@@QBEHXZ","?flags@ios_base@std@@QBEHXZ",54,0.05,0.05,0.00,0.00,"MSVCP120D.dll",
"Caller","?flags@ios_base@std@@QBEHXZ","std::operator<<<std::char_traits<char> >",10,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?flags@ios_base@std@@QBEHXZ","std::operator<<<std::char_traits<char> >",44,0.04,0.04,0.00,0.00,"ConsoleApplication2.exe",
"Root","?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ","?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ",20,0.23,0.23,0.00,0.00,"MSVCP120D.dll",
"Caller","?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ","std::endl<char,std::char_traits<char> >",20,0.23,0.23,0.00,0.00,"ConsoleApplication2.exe",
"Root","?good@ios_base@std@@QBE_NXZ","?good@ios_base@std@@QBE_NXZ",108,0.07,0.07,0.00,0.00,"MSVCP120D.dll",
"Caller","?good@ios_base@std@@QBE_NXZ","std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",108,0.07,0.07,0.00,0.00,"ConsoleApplication2.exe",
"Root","?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z","?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",20,6.27,6.27,0.03,0.03,"MSVCP120D.dll",
"Caller","?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z","std::endl<char,std::char_traits<char> >",20,6.27,6.27,0.03,0.03,"ConsoleApplication2.exe",
"Root","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ",270,0.15,0.15,0.00,0.00,"MSVCP120D.dll",
