Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",10,61.86,61.86,0.52,0.52,"MSVCP120D.dll",
"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",44,25.85,25.85,0.05,0.05,"MSVCP120D.dll",
"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",20,5.92,5.92,0.02,0.02,"MSVCP120D.dll",
"mainCRTStartup",1,100.00,1.79,8.43,0.15,"ConsoleApplication2.exe",
"std::operator<<<std::char_traits<char> >",44,27.49,0.31,0.05,0.00,"ConsoleApplication2.exe",
"?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",20,0.27,0.27,0.00,0.00,"MSVCP120D.dll",
"__CxxSetUnhandledExceptionFilter",1,0.27,0.27,0.02,0.02,"ConsoleApplication2.exe",
"exit",1,0.28,0.27,0.02,0.02,"MSVCR120D.dll",
"?uncaught_exception@std@@YA_NXZ",54,0.23,0.23,0.00,0.00,"MSVCP120D.dll",
"?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ",20,0.20,0.20,0.00,0.00,"MSVCP120D.dll",
"__getmainargs",1,0.19,0.19,0.02,0.02,"MSVCR120D.dll",
"std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",54,0.35,0.18,0.00,0.00,"ConsoleApplication2.exe",
"?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ",270,0.17,0.17,0.00,0.00,"MSVCP120D.dll",
"__tmainCRTStartup",1,98.20,0.15,8.28,0.01,"ConsoleApplication2.exe",
"operator new[]",9,0.15,0.15,0.00,0.00,"ConsoleApplication2.exe",
"?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",54,0.14,0.14,0.00,0.00,"MSVCP120D.dll",
"_setdefaultprecision",1,0.13,0.13,0.01,0.01,"ConsoleApplication2.exe",
"?good@ios_base@std@@QBE_NXZ",108,0.13,0.13,0.00,0.00,"MSVCP120D.dll",
"std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",54,0.53,0.13,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::String_Buffer",1,0.13,0.12,0.01,0.01,"ConsoleApplication2.exe",
"_RTC_CheckEsp","1,352",0.11,0.11,0.00,0.00,"ConsoleApplication2.exe",
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",20,6.55,0.11,0.03,0.00,"MSVCP120D.dll",
