Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"ConsoleApplication2.exe",0,100.00,0.00,0.00,0.00,"",
1,"mainCRTStartup",1,100.00,1.89,4.54,0.09,"ConsoleApplication2.exe",
2,"__tmainCRTStartup",1,98.10,0.29,4.45,0.01,"ConsoleApplication2.exe",
3,"main",1,96.17,0.02,4.37,0.00,"ConsoleApplication2.exe",
4,"std::operator<<<std::char_traits<char> >",5,63.66,0.16,0.58,0.00,"ConsoleApplication2.exe",
5,"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",5,63.21,63.21,0.57,0.57,"MSVCP120D.dll",
4,"String::print",4,26.29,0.04,0.30,0.00,"ConsoleApplication2.exe",
5,"std::operator<<<std::char_traits<char> >",27,26.25,0.32,0.04,0.00,"ConsoleApplication2.exe",
6,"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",27,24.65,24.65,0.04,0.04,"MSVCP120D.dll",
4,"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",10,5.87,0.13,0.03,0.00,"MSVCP120D.dll",
5,"std::endl<char,std::char_traits<char> >",10,5.74,0.06,0.03,0.00,"ConsoleApplication2.exe",
6,"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",10,5.30,5.30,0.02,0.02,"MSVCP120D.dll",
