Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",10,5.87,0.13,0.03,0.00,"MSVCP120D.dll",
"Caller","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","main",10,5.87,0.13,0.03,0.00,"ConsoleApplication2.exe",
"Callee","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z","std::endl<char,std::char_traits<char> >",10,5.74,0.06,0.03,0.00,"ConsoleApplication2.exe",
"Root","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",32,0.10,0.10,0.00,0.00,"MSVCP120D.dll",
"Caller","?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ","std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",32,0.10,0.10,0.00,0.00,"ConsoleApplication2.exe",
"Root","?flags@ios_base@std@@QBEHXZ","?flags@ios_base@std@@QBEHXZ",32,0.03,0.03,0.00,0.00,"MSVCP120D.dll",
"Caller","?flags@ios_base@std@@QBEHXZ","std::operator<<<std::char_traits<char> >",5,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?flags@ios_base@std@@QBEHXZ","std::operator<<<std::char_traits<char> >",27,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
"Root","?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ","?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ",10,0.21,0.21,0.00,0.00,"MSVCP120D.dll",
"Caller","?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ","std::endl<char,std::char_traits<char> >",10,0.21,0.21,0.00,0.00,"ConsoleApplication2.exe",
"Root","?good@ios_base@std@@QBE_NXZ","?good@ios_base@std@@QBE_NXZ",64,0.06,0.06,0.00,0.00,"MSVCP120D.dll",
"Caller","?good@ios_base@std@@QBE_NXZ","std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",64,0.06,0.06,0.00,0.00,"ConsoleApplication2.exe",
"Root","?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z","?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",10,5.30,5.30,0.02,0.02,"MSVCP120D.dll",
"Caller","?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z","std::endl<char,std::char_traits<char> >",10,5.30,5.30,0.02,0.02,"ConsoleApplication2.exe",
"Root","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ",160,0.15,0.15,0.00,0.00,"MSVCP120D.dll",
"Caller","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::_Sentry_base",64,0.06,0.06,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",64,0.06,0.06,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ","std::operator<<<std::char_traits<char> >",5,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ","std::operator<<<std::char_traits<char> >",27,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
