Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",5,63.21,63.21,0.57,0.57,"MSVCP120D.dll",
"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",27,24.65,24.65,0.04,0.04,"MSVCP120D.dll",
"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",10,5.30,5.30,0.02,0.02,"MSVCP120D.dll",
"mainCRTStartup",1,100.00,1.89,4.54,0.09,"ConsoleApplication2.exe",
"__CxxSetUnhandledExceptionFilter",1,0.55,0.55,0.03,0.03,"ConsoleApplication2.exe",
"__getmainargs",1,0.40,0.40,0.02,0.02,"MSVCR120D.dll",
"std::operator<<<std::char_traits<char> >",27,26.25,0.32,0.04,0.00,"ConsoleApplication2.exe",
"__tmainCRTStartup",1,98.10,0.29,4.45,0.01,"ConsoleApplication2.exe",
"std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",32,0.54,0.26,0.00,0.00,"ConsoleApplication2.exe",
"?uncaught_exception@std@@YA_NXZ",32,0.23,0.23,0.00,0.00,"MSVCP120D.dll",
"?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ",10,0.21,0.21,0.00,0.00,"MSVCP120D.dll",
"_setdefaultprecision",1,0.19,0.19,0.01,0.01,"ConsoleApplication2.exe",
"std::operator<<<std::char_traits<char> >",5,63.66,0.16,0.58,0.00,"ConsoleApplication2.exe",
"?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",10,0.16,0.16,0.00,0.00,"MSVCP120D.dll",
"exit",1,0.17,0.15,0.01,0.01,"MSVCR120D.dll",
"?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ",160,0.15,0.15,0.00,0.00,"MSVCP120D.dll",
"std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",32,0.68,0.15,0.00,0.00,"ConsoleApplication2.exe",
