Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"ConsoleApplication2.exe",0,100.00,0.00,0.00,0.00,"",
1,"mainCRTStartup",1,99.98,1.88,7.92,0.15,"ConsoleApplication2.exe",
2,"__tmainCRTStartup",1,98.09,0.17,7.78,0.01,"ConsoleApplication2.exe",
3,"main",1,96.47,0.03,7.65,0.00,"ConsoleApplication2.exe",
4,"std::operator<<<std::char_traits<char> >",10,63.99,0.09,0.51,0.00,"ConsoleApplication2.exe",
5,"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",10,63.55,63.55,0.50,0.50,"MSVCP120D.dll",
4,"String::print",6,25.09,0.01,0.33,0.00,"ConsoleApplication2.exe",
5,"String_Buffer::print",6,25.08,0.05,0.33,0.00,"ConsoleApplication2.exe",
6,"std::operator<<<std::char_traits<char> >",39,25.03,0.28,0.05,0.00,"ConsoleApplication2.exe",
7,"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",39,23.60,23.60,0.05,0.05,"MSVCP120D.dll",
4,"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",20,7.14,0.13,0.03,0.00,"MSVCP120D.dll",
5,"std::endl<char,std::char_traits<char> >",20,7.02,0.05,0.03,0.00,"ConsoleApplication2.exe",
6,"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",20,6.55,6.55,0.03,0.03,"MSVCP120D.dll",
